liquidassets_adj_p50,netwealth_adj_p50,liquid_to_perm_p50,inc_after_tax_p50,liquidassets_adj_mean,netwealth_adj_mean,liquid_to_perm_mean,inc_after_tax_mean
84234.219,85148.191,.14303819,635980.13,261591.11,691601,.35765529,689372.74
69818.508,116853.08,.1364145,563071.56,159833.91,391575.53,.31502544,575630.6
71133.469,188788.39,.1512174,512839.75,154398.75,456876.47,.56015063,518814.21
72604.586,277455.58,.17017578,464479.16,157849.05,549247.56,.41055069,469066.78
67254.223,353364.53,.1792661,397559.3,158720.27,604656.05,.38948343,415074.91
43036.441,259000,.13533898,324676.72,143147.94,530363.98,.47307007,362976.86
19610.102,-113682.48,.07772575,264662.36,95392.116,306308.77,.39330415,301810.92
14575.879,-25475.561,.07071032,221557.02,60376.188,198201.91,.3571729,252229.08
28852.045,27249.611,.13817999,212846.48,75684.452,292132.55,2.2345652,239270.96
374690,1225593.8,1.1422455,330219.31,659381.56,2148323.4,4.1580179,423162.46
